Detector_Descriptor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
AKAZE/BRIEF,15.948,15.0455,15.4404,13.8482,16.3913,17.1893,19.5754,14.121,20.0901,11.5709,14.2309,15.5964,10.1939,13.2479,13.4114,11.2947,10.2933,9.8842
AKAZE/BRISK,13.9319,19.8372,13.3659,15.5584,17.7295,14.7084,15.8833,13.9229,13.8234,15.4176,12.3627,13.297,10.0855,13.0985,16.4045,12.9399,10.7552,8.92524
HARRIS/BRIEF,9.60303,24.6087,33.4876,-inf,inf,-inf,12.8402,12.8026,12.796,inf,35.1354,inf,4.0706,inf,inf,12.5287,inf,14.2626
BRISK/BRIEF,14.1782,22.4427,16.2025,23.9697,18.2883,41.7786,23.1147,18.4064,20.2064,17.3265,21.3163,16.9333,14.6369,15.3365,11.054,14.5766,13.745,15.2896
AKAZE/FREAK,12.9182,15.36,15.7884,14.1762,16.2229,14.4455,15.372,18.4314,19.6683,11.8941,12.162,15.1634,10.7833,9.87627,9.89452,12.6393,9.95697,8.79442
AKAZE/ORB,13.7987,17.6964,14.5607,16.1676,15.8082,17.7343,19.9839,17.9636,19.8065,11.5597,15.1964,11.4861,13.1898,10.9526,10.2055,9.73338,10.3587,10.8282
HARRIS/BRISK,9.60303,-inf,33.4876,-inf,inf,inf,12.9475,inf,12.5715,inf,35.1354,inf,17.0957,inf,12.4289,12.5287,inf,14.2626
FAST/BRIEF,11.1897,13.0069,16.7839,13.6612,-inf,13.5856,12.2781,12.3643,13.9231,13.6593,15.1514,12.6994,12.6532,11.7034,12.6071,13.0069,9.93546,13.1706
BRISK/BRISK,13.031,23.1027,16.426,15.2031,25.1868,17.6743,16.8563,19.7242,14.9704,13.4121,12.8176,11.0107,11.8505,12.0376,15.6929,11.2969,9.70105,11.7318
ORB/BRISK,17.4087,-inf,25.9782,21.2018,371.622,11.1075,-inf,15.3461,-inf,-inf,7.44098,-inf,7.53169,24.6173,13.594,29.8307,21.1348,29.6605
AKAZE/SIFT,12.4519,17.924,15.2252,15.7638,17.4498,19.564,15.4734,17.3454,16.6246,12.4187,13.0651,11.7033,13.7195,13.2939,14.2866,9.89604,10.7372,10.0434
AKAZE/AKAZE,12.9551,17.5868,14.0105,14.2488,16.4623,16.7629,15.2349,18.2497,17.6244,13.9012,13.5643,12.0918,11.0846,13.0161,13.2349,11.9882,10.304,10.1191
HARRIS/FREAK,9.60303,-inf,25.9789,-inf,-78.3207,-inf,12.9709,12.8026,12.5715,0.271171,35.1354,inf,23.4412,inf,inf,12.5287,inf,14.2626
BRISK/FREAK,12.3483,20.4555,13.9222,13.6652,22.3057,16.0739,15.4463,21.4854,18.2991,13.9839,14.8409,12.431,15.0024,12.0955,16.4182,10.3542,9.18413,10.8412
HARRIS/ORB,9.60303,24.6087,33.4876,-inf,inf,-inf,12.8402,-inf,12.5715,inf,35.1354,inf,17.0957,inf,inf,12.5287,inf,14.2626
BRISK/ORB,17.5514,20.1555,17.8997,15.621,22.3963,20.629,18.7943,16.0691,15.425,12.2923,13.9703,14.4678,11.5189,12.1556,11.4651,14.6651,10.5274,11.9131
HARRIS/SIFT,16.3836,-inf,33.4876,-inf,30.7141,-inf,6.43041,-inf,12.796,15.5778,35.1354,inf,4.0706,inf,inf,12.5287,inf,14.2626
BRISK/SIFT,13.0555,16.5726,16.7905,13.5407,33.0019,16.1118,13.3155,17.0214,16.1917,14.6711,12.8176,11.7895,13.6458,11.0659,13.3531,11.0452,11.2009,12.6639
ORB/SIFT,17.5222,13.8583,12.6207,2578.43,47.3482,17.9796,128.734,11.3168,21.2278,-inf,7.86152,-inf,25.7577,13.7225,33.3507,10.2191,17.2956,17.7717
FAST/BRISK,12.3,12.3453,16.6163,12.8857,-inf,13.0386,12.041,11.4066,11.8684,13.3473,12.9492,12.1174,12.7784,11.6077,11.4079,12.2566,9.2933,11.8606
FAST/FREAK,11.9002,13.8852,13.2228,13.8462,46.5554,12.5009,12.2695,11.5467,12.9066,13.4169,13.0373,12.1376,11.9908,11.2961,13.4268,12.0008,8.79801,12.0558
FAST/ORB,11.9993,12.9793,16.6163,13.7508,199.157,55.9788,12.4264,12.186,12.8711,16.2321,14.1395,13.1636,12.9215,11.1115,10.8439,11.3939,12.1055,13.7843
FAST/SIFT,12.5923,12.8526,22.7505,15.4897,-inf,13.9137,12.2781,12.6536,13.852,14.0112,15.8801,12.7731,12.9215,12.879,12.6071,12.9069,10.5264,12.6506
ORB/BRIEF,24.356,-inf,60.9149,14.5494,28.5454,-48.152,-inf,34.6298,-inf,-inf,23.0509,24.1816,45.887,13.5034,32.6184,12.7794,17.7772,21.8111
SIFT/SIFT,11.3868,12.5726,12.9422,18.8184,12.4784,11.0585,13.5735,14.6937,13.3976,11.8385,11.2887,11.0189,11.6883,10.5754,9.77464,9.05267,8.69186,9.23257
ORB/FREAK,12.0569,-inf,10.8745,12.6112,161.726,10.9269,-inf,11.9978,20.7736,-inf,8.34928,25.9864,7.05866,39.1271,32.4831,9.37082,9.93894,8.73235
ORB/ORB,-inf,10.1802,23.9437,25.0426,-inf,18.4549,-inf,-inf,-inf,-inf,9.41643,-inf,-inf,-inf,-inf,-inf,12.8853,-inf
